time,on,off,diff
15.4467,1850,2014,-164
15.61703,1816,2018,-202
15.78863,1800,2019,-219
15.94921,1804,2019,-215
16.12044,1828,2017,-189
16.28781,1869,2013,-144
16.4579,1923,2007,-84
16.62776,1985,2001,-16
16.79799,2049,1995,54
16.95943,2104,1989,115
17.12851,2152,1984,168
17.30248,2186,1981,205
17.47435,2199,1980,219
17.64719,2192,1980,212
17.8204,2164,1983,181
17.98272,2122,1987,135
18.15312,2066,1993,73
18.32527,2003,1999,4
18.49727,1939,2006,-67
18.66761,1882,2011,-129
18.8398,1836,2016,-180
19.00046,1809,2019,-210
19.16265,1800,2019,-219
19.33629,1810,2018,-208
19.50731,1839,2016,-177
19.67775,1885,2011,-126
19.85033,1944,2005,-61
20.01155,2004,1999,5
20.18187,2067,1993,74
20.35605,2124,1987,137
20.52928,2168,1983,185
20.70196,2193,1980,213
20.87497,2199,1980,219
21.03772,2185,1981,204
21.20154,2153,1984,169
21.37603,2104,1989,115
21.54827,2044,1995,49
21.72713,1977,2002,-25
21.89985,1914,2008,-94
22.06616,1863,2013,-150
22.23674,1824,2017,-193
22.41,1802,2019,-217
22.58116,1802,2019,-217
22.75361,1822,2017,-195
22.9215,1859,2014,-155
23.08773,1910,2008,-98
23.26064,1972,2002,-30
23.43338,2037,1996,41
23.60458,2097,1990,107
23.77788,2148,1985,163
23.94282,2182,1981,201
24.11272,2198,1980,218
24.28619,2194,1980,214
24.45921,2170,1982,188
24.63024,2128,1987,141
24.80428,2072,1992,80
24.96679,2012,1998,14
25.13771,1948,2005,-57
25.31123,1889,2011,-122
25.48422,1841,2015,-174
25.65573,1811,2018,-207
25.82755,1800,2019,-219
25.98994,1808,2019,-211
26.16247,1837,2016,-179
26.33501,1882,2011,-129
26.50874,1941,2005,-64
26.68009,2005,1999,6
26.85547,2069,1993,76
27.02098,2123,1987,136
27.18995,2166,1983,183
27.36702,2193,1980,213
27.54601,2199,1980,219
27.71631,2183,1981,202
27.89053,2148,1985,163
28.05631,2099,1990,109
28.24189,2034,1996,38
28.40138,1974,2002,-28
28.56289,1916,2008,-92
28.71737,1867,2013,-146
28.87802,1828,2017,-189
29.03083,1806,2019,-213
29.1878,1800,2019,-219
29.34168,1810,2018,-208
29.50191,1838,2016,-178
29.66288,1881,2011,-130
29.81938,1933,2006,-73
29.97505,1990,2000,-10
30.13285,2049,1995,54
30.29253,2104,1989,115
30.45142,2150,1984,166
30.60906,2182,1981,201
30.76936,2198,1980,218
30.92788,2196,1980,216
31.08509,2177,1982,195
31.23623,2145,1985,160
31.39553,2097,1990,107
31.55457,2041,1995,46
31.71565,1981,2001,-20
31.87483,1923,2007,-84
32.0252,1874,2012,-138
32.18297,1834,2016,-182
32.34432,1808,2019,-211
32.50418,1800,2019,-219
32.66242,1809,2019,-210
32.82065,1835,2016,-181
32.97466,1874,2012,-138
33.1317,1925,2007,-82
33.28959,1983,2001,-18
33.44888,2043,1995,48
33.60721,2098,1990,108
33.76748,2146,1985,161
33.9209,2178,1982,196
34.07206,2196,1980,216
34.22796,2198,1980,218
34.38361,2183,1981,202
34.54393,2151,1984,167
34.70399,2105,1989,116
34.8609,2051,1994,57
35.00998,1996,2000,-4
35.16613,1938,2006,-68
35.32505,1884,2011,-127
35.48409,1841,2015,-174
35.63953,1813,2018,-205
35.7999,1800,2019,-219
35.95307,1805,2019,-214
36.10749,1826,2017,-191
36.26089,1861,2013,-152
36.41952,1910,2008,-98
36.57866,1966,2003,-37
36.73995,2027,1997,30
36.89942,2084,1991,93
37.04783,2131,1986,145
37.20455,2169,1983,186
37.36418,2193,1980,213
37.524,2199,1980,219
37.68253,2188,1981,207
37.84079,2160,1983,177
37.9939,2119,1988,131
38.15363,2066,1993,73
38.31476,2006,1999,7
38.47467,1947,2005,-58
38.63344,1892,2010,-118
38.79271,1847,2015,-168
38.95041,1816,2018,-202
39.10581,1801,2019,-218
39.26617,1803,2019,-216
39.42555,1823,2017,-194
39.58341,1858,2014,-156
39.74391,1907,2009,-102
39.90416,1964,2003,-39
40.05177,2019,1998,21
40.20684,2076,1992,84
40.36623,2127,1987,140
40.52499,2167,1983,184
40.68411,2192,1980,212
40.84445,2199,1980,219
40.99552,2190,1980,210
41.15415,2164,1983,181
41.31305,2123,1987,136
41.47084,2072,1992,80
41.63001,2013,1998,15
41.78976,1954,2004,-50
41.95006,1898,2010,-112
42.10064,1854,2014,-160
42.25838,1820,2017,-197
42.41678,1802,2019,-217
